time,cpu,mem
2015-01-01,36.0,139264.0
2015-01-02,37.0,141312.0
2015-01-03,42.0,172032.0
2015-01-04,,
2015-01-05,4.0,8192.0
2015-01-06,70.0,155648.0
2015-01-07,64.0,253952.0
2015-01-08,8.0,24576.0
2015-01-09,640.0,1392640.0
2015-01-10,10.0,24576.0
2015-01-11,,
2015-01-12,75.0,301056.0
2015-01-13,106.0,352256.0
2015-01-14,224.0,700416.0
2015-01-15,238.0,952320.0
2015-01-16,174.0,684032.0
2015-01-17,,
2015-01-18,,
2015-01-19,17.0,69632.0
2015-01-20,72.0,167936.0
2015-01-21,,
2015-01-22,36.0,71680.0
2015-01-23,25.0,53248.0
2015-01-24,8.0,32768.0
2015-01-25,128.0,262144.0
2015-01-26,,
2015-01-27,2.0,4096.0
2015-01-28,8.0,20480.0
2015-01-29,14.0,28672.0
2015-01-30,8.0,16384.0
2015-01-31,,
2015-02-01,40.0,81920.0
2015-02-02,66.0,268288.0
2015-02-03,78.0,188416.0
2015-02-04,3.0,6144.0
2015-02-05,266.0,425984.0
2015-02-06,76.0,153600.0
2015-02-07,,
2015-02-08,30.0,110592.0
2015-02-09,92.0,376832.0
2015-02-10,24.0,63488.0
2015-02-11,804.0,851968.0
2015-02-12,71.0,163840.0
2015-02-13,58.0,102400.0
2015-02-14,14.0,49152.0
2015-02-15,1.0,1024.0
2015-02-16,17.0,32768.0
2015-02-17,60.0,131072.0
2015-02-18,120.0,245760.0
2015-02-19,6.0,20480.0
